hour,Nov,Dec,Jan,Feb,Mar,Jun,Jul,Aug
0,52.800000000000004,60.802469135802475,61.91950464396285,57.6530612244898,49.84520123839009,31.36,14.241486068111456,19.384615384615383
1,56.120826709062,62.34567901234568,62.46153846153846,56.9023569023569,49.382716049382715,35.19108280254777,15.797546012269938,22.427035330261134
2,57.407407407407405,62.46153846153846,62.249614791987675,56.82967959527825,52.38095238095239,39.96815286624204,18.55828220858896,24.11674347158218
3,56.34920634920635,63.27160493827161,64.57055214723927,58.952702702702695,53.48101265822785,41.33545310015898,23.809523809523807,28.57142857142857
4,57.62439807383628,63.48228043143297,64.36251920122888,59.45945945945946,53.149001536098304,44.12698412698413,29.384615384615387,31.846153846153847
5,60.19108280254777,65.27777777777779,65.49079754601227,60.53962900505903,53.38461538461539,45.85987261146497,31.432973805855163,34.86943164362519
6,57.66773162939297,63.34355828220859,65.0231124807396,58.544839255499156,52.92307692307693,44.620253164556964,33.282208588957054,35.23076923076923
7,56.36942675159236,62.51920122887865,64.6604938271605,59.02192242833052,53.3026113671275,42.53968253968254,34.0,34.36055469953775
8,50.717703349282296,62.865947611710325,65.38461538461539,55.55555555555556,49.30875576036866,43.72019077901431,36.517719568567024,36.25192012288787
9,51.03338632750397,57.20858895705522,62.21198156682027,52.27655986509275,49.233128834355824,41.904761904761905,36.30769230769231,33.794162826420894
10,51.269841269841265,56.481481481481474,59.07692307692308,50.50847457627119,46.76923076923077,37.142857142857146,32.04930662557781,31.02918586789555
11,49.84076433121019,54.83870967741935,54.769230769230774,48.983050847457626,44.06779661016949,31.419457735247207,27.342549923195087,28.043143297380585
12,46.26391096979332,55.31587057010786,56.61538461538461,47.5548060708263,42.901234567901234,26.031746031746035,20.955315870570107,20.49306625577812
13,45.78696343402226,54.0,56.08628659476117,46.711635750421586,38.88888888888889,23.49206349206349,16.43625192012289,16.640986132511557
14,44.60317460317461,50.92307692307693,50.46153846153846,41.989881956155145,35.901386748844374,19.047619047619047,12.903225806451612,11.538461538461538
15,45.22292993630573,48.99536321483771,51.61787365177196,43.69747899159664,36.68730650154799,18.412698412698415,12.135176651305683,9.846153846153847
16,42.26475279106858,49.07692307692308,51.86335403726709,42.88135593220339,38.190184049079754,17.936507936507937,10.16949152542373,11.384615384615385
17,43.72019077901431,51.697530864197525,52.47678018575851,42.54237288135593,35.51401869158878,20.158730158730158,8.90937019969278,9.37019969278034
18,46.666666666666664,55.29953917050692,56.00000000000001,44.763513513513516,37.07692307692308,17.862838915470494,8.923076923076923,9.090909090909092
19,49.44356120826709,54.92307692307692,55.55555555555556,49.40374787052811,38.036809815950924,18.312101910828023,7.2196620583717355,9.538461538461538
20,49.282296650717704,56.39445300462249,59.876543209876544,49.57698815566836,41.358024691358025,18.73015873015873,6.29800307219662,9.062980030721967
21,48.966613672496024,57.407407407407405,59.87748851454824,50.67567567567568,43.759630200308166,18.949044585987263,6.7588325652841785,10.75268817204301
22,49.122807017543856,58.0246913580247,59.13978494623656,52.1079258010118,46.05873261205564,20.192307692307693,6.3076923076923075,13.230769230769232
23,51.35999999999999,60.371517027863774,61.76470588235294,55.78231292517006,47.2952086553323,28.434504792332266,8.461538461538462,15.895061728395063
